Timestamp,Select the age range that applies,In what region do you currently live / work?,What gender do you identify with?,How many years have you been a professional designer? (regardless of career level),"Before starting your design career, what was your primary academic or professional trajectory?",What is the highest level of design education you have completed?,When did you first consider design as a career path,"When you first considered design as a career path, what was your level of confidence in your decision?",How supportive were the people around you about pursuing design as career?,To what degree do you feel like you displayed natural qualities of leadership when you were growing up?,How would you describe your entry into design as a career?,"How much do you agree with the following statement: ""Someone actively invited or guided me into the design field (e.g., a mentor, professor, or peer).""",Was your first career job as a designer or in a different profession/industry?, How would you describe the scale of the first design team you worked in?, How would you describe the type of organization you first worked in as a designer?, How would you describe the design discipline / practice of your first professional design job?,What career level best describes your current position?,How long have you been in your current role?,What is the title of the person who you report to?,"When you began your current role, to what degree were you sufficiently onboarded or trained? ","As you've advanced in your career, how much have coaches, mentors, or sponsors influenced your journey? ","As you've advanced in your carer, have you received formal training in management or leadership? ",Which of the following have been major setbacks in your career [select all that apply],How many years into your career did you first hold a formal design leadership role? (i.e. managing people or leading a project/initiative),"In your current role, how many designers report up to you? (directly or indirectly)","Do you manage employees outside of design (i.e., engineers, product managers, etc)? If so, how many and what functions? ",Which factors have been most important to you advancing in your career as a design leader? [select at most 3],"In the next 5 years, how do you expect the global design industry to evolve?","In the next 5 years, how much do you expect your tool stack to change?","In the next 5 years, which direction best describes your intended career trajectory? ",How much are you actively investing in your own career aspirations?,How much are you actively developing successors or next-generation leaders in your team or org?,How many people have you mentored in the past 3 years? (rough estimate),"Outside of your primary role, are you currently engaged in any of the following? (Select all that apply)","If you'd like to be interviewed for the project as well, please leave your email."
3/6/2026 16:19:21,36-45,North America,Female,15,Business / Economics,I did not study design formally.,Early career (0–3 years into a different field),5,5,3,A gradual accumulation of interests that reached a tipping point,5,My first job was in a different profession / industry.,Small team (2–5 designers),Freelance / Independent,UX Research,Senior IC / Principal designer,10 years ,,2,5,2,Contracted design job market industry-wide,3,2,1 business analyst,"Relationships with key stakeholders, Years of experience",4,4,advance to the next career level,4,3,5,Mentoring or coaching (informal),
3/6/2026 16:36:41,46-55,North America,Male,29,I was always on a design-specific track,I hold an undergraduate degree in design,It was my childhood dream,5,5,3,A natural continuation of what I'd always been doing,1,My first job was as a designer.,Small team (2–5 designers),Corporate (In-house),"Graphic Design, UI Design, Communication Design",Senior design manager (managing multiple teams),2.5 years,Senior Director,2,2,2,"Layoffs / Contraction at my company, Lack of growth opportunities at my company",11,15,No,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",2,5,advance to the next career level,5,4,10,"Writing (blog, book, articles), Presenting at conferences or events, Mentoring or coaching (informal)",
3/6/2026 16:50:56,46-55,North America,Female,20,Engineering / Computer Science,I hold a Master's degree or higher in design.,During undergraduate studies,4,5,5,A single defining moment or experience,1,My first job was as a designer.,Small team (2–5 designers),Corporate (In-house),Interaction Design,Design manager (managing one team of designers),10 months,Head of Product,3,4,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design",8,10,"No, only designers and researchers ","Sponsorship or advocacy from senior leaders, Relationships with key stakeholders, Years of experience",3,5,advance to the next career level,5,4,5,Mentoring or coaching (informal),
3/6/2026 17:10:30,36-45,North America,Male,23,I was always on a design-specific track,I hold a Master's degree or higher in design.,During undergraduate studies,4,5,5,A natural continuation of what I'd always been doing,1,My first job was as a designer.,Solo designer (I was the only designer in the organization),Corporate (In-house),"Graphic Design, UI Design, Interaction Design, Motion Design",VP level designer,1 year,"SVP, Head of Product",3,3,2,"Layoffs / Contraction at my company, Project or product being cancelled, Lack of growth opportunities at my company, Burnout",4,12,"Research, 2 people","Sponsorship or advocacy from senior leaders, Relationships with key stakeholders, Technical accumen",3,4,continue at current level,1,4,5,Teaching or lecturing,
3/6/2026 17:19:52,46-55,North America,Female,28,Natural Sciences,I hold a Master's degree or higher in design.,Early career (0–3 years into a different field),5,5,2,A gradual accumulation of interests that reached a tipping point,5,My first job was as a designer.,Small team (2–5 designers),NGO / Non-profit,Communication Design,Senior / Lead designer,1 year,Studio Head,2,4,1,Starting a family,6,2,Nope,Reputation ,2,5,shift your career away from design completely,2,3,1,"Teaching or lecturing, Side projects or freelance work",
3/6/2026 19:04:25,46-55,North America,Male,25,Business / Economics,I hold a Master's degree or higher in design.,Early career (0–3 years into a different field),1,1,2,A pragmatic decision based on job prospects or circumstances,1,My first job was in a different profession / industry.,Solo designer (I was the only designer in the organization),Corporate (In-house),Digital product Design,"Multiple Roles & Levels depending on the nature of the problem, initiative, project or crisis",5,Service Improvement Manager - Strategic Policy Mangement,1,4,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Burnout, Global/Economic Crisis and The velocity of Digital Shifts and Changes",6,0," No, it’s co-create, collaborate, contributions, and consultation mostly","Proven business or user outcomes, Advanced degree (MBA, MFA, etc.), Sponsorship or advocacy from senior leaders",5,3,"Interdisciplinary, Multilateral and Multi-vertical ",5,2,3,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Social media / content creation, Takin lg classes and speaking/sharibg from my design perspective",N/A
3/6/2026 19:52:44,24-35,North America,Female,8,"Social Sciences (Psychology, Sociology, Anthropology)",I hold a Master's degree or higher in design.,During graduate studies,3,4,5,A gradual accumulation of interests that reached a tipping point,3,My first job was as a designer.,"Large, established design organization (21+)",Corporate (In-house),UX Research,Combo design and UXR manager,3 months ,Design director ,1,2,2,None yet but I worry about all the above constantly ,6,7,No but it seems to be trending that way ,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",1,5,I’d like to stay in UX but with current trends I’m preparing to shift if needed.,5,2,30,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work",
3/6/2026 20:01:48,36-45,North America,Female,14,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,During undergraduate studies,5,5,4,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,Solo designer (I was the only designer in the organization),Startup,"Brand Design, Graphic Design",Senior design manager (managing multiple teams),2 years,AVP ,2,3,1,Burnout,5,2,No,"Proven business or user outcomes, Budget or scope of management, Relationships with key stakeholders",5,5,advance to the next career level,4,4,10,Teaching or lecturing,
3/6/2026 20:32:47,56-65,North America,Male,4,Engineering / Computer Science,I did not study design formally.,Mid-career pivot (3+ years into a different field),4,3,4,An unexpected opportunity I hadn't planned for,5,My first job was in a different profession / industry.,"Large, established design organization (21+)",Corporate (In-house),UX Product Management,Advisor / Mentor,3,Owner (Myself0,1,3,1,"Layoffs / Contraction at my company, Burnout",20,0,0,"Proven business or user outcomes, Business accumen, Years of experience",3,5,retirement,5,1,20,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Side projects or freelance work, Community organizing or design advocacy, Social media / content creation",
3/6/2026 21:48:10,36-45,North America,Male,17,I was always on a design-specific track,I hold a Master's degree or higher in design.,Before college/university,5,5,4,A pragmatic decision based on job prospects or circumstances,1,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),"Industrial Design, Spatial Design, Interior Design",VP level designer,3 months,Ceo,3,4,4,Lack of growth opportunities at my company,5,1,3 product managers,"Proven business or user outcomes, Advanced degree (MBA, MFA, etc.), Sponsorship or advocacy from senior leaders",2,5,advance to the next career level,4,3,5,"Writing (blog, book, articles), Building a company or startup",
3/6/2026 22:00:06,36-45,North America,Male,20,"Social Sciences (Psychology, Sociology, Anthropology)",I did not study design formally.,Before college/university,1,2,4,An unexpected opportunity I hadn't planned for,1,My first job was as a designer.,Solo designer (I was the only designer in the organization),Agency / Consultancy,Web design ,Director level designer,1 year,CTO,5,1,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Burnout",5,4,0,"Previous team size or headcount managed, Case studies with measurable business results",1,5,shift to a different professional discipline / business area,3,1,0,"Side projects or freelance work, Building a company or startup",
3/7/2026 0:21:38,24-35,North America,Male,11,I was always on a design-specific track,I hold a Master's degree or higher in design.,Before college/university,4,4,5,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,"Large, established design organization (21+)",Agency / Consultancy,Spatial Design,Senior IC / Principal designer,4,,2,1,5,"Layoffs / Contraction at my company, Other designers’ narrow view of design",2,None,"4-5, primarily architects, artworkers or technical designers",Technical accumen,1,2,shift your career away from design completely,5,5,100,"Writing (blog, book, articles), Teaching or lecturing, Presenting at conferences or events, Building a company or startup",
3/7/2026 5:53:03,46-55,North America,Female,26,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,Early career (0–3 years into a different field),2,1,5,A gradual accumulation of interests that reached a tipping point,5,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,"Brand Design, Graphic Design, Editorial Design, Information Graphics",Executive Director ,1 yr,VP,4,5,5,"Under-compensation or financial pressure, Lack of growth opportunities at my company, Ageism, sexism, racism",10,3,"8 (CFO, COO, project managers)","Speaking at conferences or industry events, Advanced degree (MBA, MFA, etc.), Business accumen",2,5,continue at current level,5,3,30,"Teaching or lecturing, Presenting at conferences or events, Consulting",
3/7/2026 10:18:49,36-45,North America,Female,17,"Social Sciences (Psychology, Sociology, Anthropology)",I hold an undergraduate degree in design,During undergraduate studies,4,3,4,An unexpected opportunity I hadn't planned for,4,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Service Design, Experience Design / events/ gathering",Senior / Lead designer,less than 1 yr,Director of Talent Brand,3,5,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Project or product being cancelled, Lack of growth opportunities at my company, Burnout, Contracted design job market industry-wide",10,i manage creative vendors,no,"Speaking at conferences or industry events, Published writing or thought leadership, Relationships with key stakeholders",2,5,advance to the next career level,5,2,3,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Side projects or freelance work, Community organizing or design advocacy, Social media / content creation",
3/7/2026 10:48:08,46-55,North America,Male,24 years,Architecture,I hold a Master's degree or higher in design.,Before college/university,5,5,4,A single defining moment or experience,4,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),"UX Research, Interaction Design",Director level designer,4 years,Managing Director ,5,2,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company",3,10,2,"Published writing or thought leadership, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",1,5,"start your own company (agency, startup, etc.)",5,5,50,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup, Community organizing or design advocacy, Social media / content creation",
3/7/2026 13:48:50,36-45,North America,Female,23,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,During undergraduate studies,4,3,4,A pragmatic decision based on job prospects or circumstances,2,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Brand Design, Graphic Design, Communication Design, Editorial Design",Director level designer,2 months,Chief Product Officer,3,4,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",7,"6 now, but previously 15",No,"Proven business or user outcomes, Business accumen, Years of experience",4,5,unsure,4,2,15,"Teaching or lecturing, Mentoring or coaching (informal), Side projects or freelance work, Community organizing or design advocacy",
3/7/2026 14:56:28,46-55,North America,Male,27,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,Before college/university,3,5,1,cheaper than film school,5,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Brand Design, Graphic Design, Communication Design, Interaction Design, Exhibition Design, Motion Design",product manager bridge to design,6 months,Director Product,4,1,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout, Contracted design job market industry-wide",3,0,0,"Previous team size or headcount managed, Sponsorship or advocacy from senior leaders, Years of experience",1,5,unsure,3,2,6,"Writing (blog, book, articles)",
3/7/2026 22:11:36,46-55,North America,Female,20,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,Early career (0–3 years into a different field),3,4,5,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,Solo designer (I was the only designer in the organization),Freelance / Independent,"Brand Design, Graphic Design, Communication Design, Exhibition Design, Editorial Design",Executive Creative Director,2 years,CEO ,1,4,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout, Advertising & Marketing treating design as ""polish"" or simply execution",3,15,"Yes, Program Management and Accounts","Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",4,5,"start your own company (agency, startup, etc.)",4,4,5,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup",
3/8/2026 11:52:55,56-65,North America,Female,25,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,During undergraduate studies,3,2,1,A natural continuation of what I'd always been doing,2,My first job was as a designer.,Mid-size team (6–20 designers),Agency / Consultancy,"Brand Design, Graphic Design, Service Design, Communication Design, Design Strategy",Advisor / Mentor,7,Myself ,1,4,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Burnout",3,0,0,"Speaking at conferences or industry events, Advanced degree (MBA, MFA, etc.), Teaching ",3,5,Become a consultant and shift to art practices ,4,4,100,"Teaching or lecturing, Attending conferences and events, Mentoring or coaching (informal), Social media / content creation",
3/8/2026 12:40:12,36-45,North America,Female,14,Industrial Design x Industrial Engineering,I hold a Master's degree or higher in design.,During undergraduate studies,2,4,4,A gradual accumulation of interests that reached a tipping point,3,My first job was as a designer.,Small team (2–5 designers),Startup,Industrial Design,Senior design manager (managing multiple teams),6 months,"AVP, Product Design",5,5,5,"Layoffs / Contraction at my company, Lack of growth opportunities at my company, Burnout",4,13,N/A,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",4,4,continue at current level,4,5,5,"Mentoring or coaching (informal), Building a company or startup",
3/8/2026 17:23:46,46-55,North America,Non binary,28,I was always on a design-specific track,I hold an undergraduate degree in design,Before college/university,5,5,4,"Both: early childhood abilities in Europe; then, a surprising door opened to my education in the US",5,My first job was as a designer.,Small team (2–5 designers),Startup,"Brand Design, UX Research, UI Design, Communication Design, Interaction Design, Design Strategy, Content Design, Editorial Design, Motion Design, Lean start-up design",After long period of Chief Designer or VP of design I am back into a start-up,3 Months,Myself/ tag team with AI,4,3,5,Managers not experienced in design but leading it,2,N/A (AI),AI,"Proven business or user outcomes, Case studies with measurable business results, Relationships with key stakeholders",3,5,"start your own company (agency, startup, etc.)",4,3,3,"Writing (blog, book, articles), Side projects or freelance work, Building a company or startup, Social media / content creation, AI first with human touch",
3/8/2026 17:44:09,46-55,North America,Male,24,Arts / Fine Arts / Humanities,I hold a degree in design from a community college.,Early career (0–3 years into a different field),2,1,5,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,Small team (2–5 designers),Freelance / Independent,"UI Design, Interaction Design",Chief Design Officer,6 months,"VP, Head of AI Data Products",1,3,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company",5,2,No,"Proven business or user outcomes, Case studies with measurable business results, Years of experience",3,5,advance to the next career level,3,4,50,"Writing (blog, book, articles), Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Community organizing or design advocacy, Social media / content creation",
3/9/2026 0:26:38,36-45,North America,Female,17,I was always on a design-specific track,I hold an undergraduate degree in design,During undergraduate studies,5,1,4,An unexpected opportunity I hadn't planned for,2,My first job was in a different profession / industry.,Small team (2–5 designers),Freelance / Independent,"Brand Design, Graphic Design, Digital product Design, Service Design, Design Strategy, Content Design",Design manager (managing one team of designers),5 yeara,An Melgoza,4,3,3,"Lack of growth opportunities at my company, Burnout",13,5,No,"Previous team size or headcount managed, Design certifications, Sponsorship or advocacy from senior leaders",5,5,advance to the next career level,3,4,3,"Attending conferences and events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup, Community organizing or design advocacy",
3/9/2026 1:58:32,24-35,North America,Female,6,I was always on a design-specific track,I hold an undergraduate degree in design,Before college/university,3,4,2,A gradual accumulation of interests that reached a tipping point,3,My first job was as a designer.,Mid-size team (6–20 designers),Agency / Consultancy,"Brand Design, Graphic Design, Industrial Design",Master's student,half a year,professor,4,4,2,"Project or product being cancelled, Burnout",0,0,0,still a student,4,5,advance to the next career level,3,2,0,Side projects or freelance work,
3/9/2026 9:09:54,24-35,North America,Female,10,I was always on a design-specific track,I hold an undergraduate degree in design,During undergraduate studies,5,3,2,A gradual accumulation of interests that reached a tipping point,5,My first job was as a designer.,Small team (2–5 designers),NGO / Non-profit,Graphic Design,Director level designer,8 months,VP Product,1,4,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company",8,3,Yes,"Case studies with measurable business results, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",2,5,continue at current level,5,3,10,Side projects or freelance work,
3/9/2026 12:47:06,36-45,North America,Male,20,I was always on a design-specific track,I hold an undergraduate degree in design,During undergraduate studies,3,3,4,An unexpected opportunity I hadn't planned for,1,My first job was as a designer.,Small team (2–5 designers),Startup,"UI Design, Motion Design, Production Design",Director level designer,8 months,VP,1,3,3,"Layoffs / Contraction at my company, Lack of growth opportunities at my company, Contracted design job market industry-wide",7,20,No,"Case studies with measurable business results, Relationships with key stakeholders, Years of experience",3,3,"start your own company (agency, startup, etc.)",3,4,6,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup",
3/9/2026 14:13:57,46-55,North America,Female,25,Engineering / Computer Science,I hold an undergraduate degree in design,During undergraduate studies,2,5,4,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,Web design,Senior IC / Principal designer,6 months,VP Product Design,2,5,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company, Burnout",15,0,No,"Proven business or user outcomes, Case studies with measurable business results, Sponsorship or advocacy from senior leaders",2,5,"start your own company (agency, startup, etc.)",5,4,20,"Writing (blog, book, articles), Presenting at conferences or events, Mentoring or coaching (informal), Building a company or startup, Social media / content creation",
3/9/2026 14:37:01,46-55,North America,Male,12,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,Before college/university,2,2,4,A gradual accumulation of interests that reached a tipping point,4,My first job was in a different profession / industry.,Small team (2–5 designers),Startup,Digital product Design,Director level designer,4 years,Director of Product Management,1,4,3,"Layoffs / Contraction at my company, Project or product being cancelled, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",5,1,Teams rotate through project work. I lead those teams. Typically: 2–3 engineers and at least 1 QA while balancing design and product asks simultaneously.,"Proven business or user outcomes, Budget or scope of management, Case studies with measurable business results",2,5,Stay within the discipline but likely pivot in some way (out of current role & org),4,1,1,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Side projects or freelance work",
3/9/2026 15:00:48,46-55,North America,Female,30,I was always on a design-specific track,I hold a Master's degree or higher in design.,During undergraduate studies,3,4,4,A gradual accumulation of interests that reached a tipping point,4,My first job was in a different profession / industry.,Small team (2–5 designers),Corporate (In-house),"Brand Design, Graphic Design, Communication Design, Editorial Design",VP level designer,3 years,,1,4,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",3,24,0,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",3,4,advance to the next career level,5,3,4,"Attending conferences and events, Side projects or freelance work",
3/9/2026 17:31:45,36-45,North America,Female,14,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,Before college/university,4,2,3,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,"Large, established design organization (21+)",Agency / Consultancy,"UX Research, UI Design, Service Design, Interaction Design, Design Strategy",Hybrid IC/ Head of Design,2.5,CEO,1,5,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Burnout",4,1,0,"Proven business or user outcomes, Previous team size or headcount managed, Advanced degree (MBA, MFA, etc.)",4,5,advance to the next career level,4,1,25,"Writing (blog, book, articles), Attending conferences and events, Side projects or freelance work",
3/10/2026 8:17:09,46-55,North America,Male,29,Business / Economics,I hold a Master's degree or higher in design.,Before college/university,3,5,3,A gradual accumulation of interests that reached a tipping point,3,My first job was as a designer.,Solo designer (I was the only designer in the organization),Corporate (In-house),"Graphic Design, UI Design, Interaction Design",Senior design manager (managing multiple teams),2,VP of Engineering,5,3,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Lack of growth opportunities at my company",10,95,"25 Front-End Engineers, 5 Ops, 15 Researchers","Proven business or user outcomes, Advanced degree (MBA, MFA, etc.), Business accumen",3,5,continue at current level,4,4,3,"Mentoring or coaching (informal), Side projects or freelance work",
3/10/2026 14:47:16,46-55,North America,Male,30,I was always on a design-specific track,I hold an undergraduate degree in design,During undergraduate studies,5,4,2,A gradual accumulation of interests that reached a tipping point,5,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),Graphic Design,Global Head of UI/UX,less than 6 months ,Global Head of Product ,1,2,1,Layoffs / Contraction at my company,15,27,None,"Proven business or user outcomes, Relationships with key stakeholders, Business accumen",1,4,continue at current level,1,4,10,"Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal)",
3/11/2026 18:38:39,46-55,North America,Male,22,animation,I hold an undergraduate degree in design,Before college/university,4,5,2,A natural continuation of what I'd always been doing,1,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),Industrial Design,Director level designer,3 years,VP Product,5,5,4,The biggest setbacks I have encountered are due to unqualified designers influencing the leaders I then had to reeducate. reeducating stakeholders who have been misled is by far the most difficult challenge of my career. ,10,7,no,"Relationships with key stakeholders, Business accumen",1,2,continue at current level,5,4,2,"Family is by far the most important thing, and any time I have outside of work goes to them",
3/12/2026 23:42:17,46-55,North America,Female,25,Arts / Fine Arts / Humanities,I hold a Master's degree or higher in design.,Before college/university,5,4,4,A natural continuation of what I'd always been doing,2,My first job was in a different profession / industry.,Solo designer (I was the only designer in the organization),Freelance / Independent,"Graphic Design, Interaction Design",Partner (consulting / design services),6 months,Myself,3,5,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Project or product being cancelled, Contracted design job market industry-wide",6,None,"Yes, producers, operations, and program managers","Proven business or user outcomes, Case studies with measurable business results, Awards or recognition",2,4,shift your career away from design completely,4,4,8,"Writing (blog, book, articles), Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup, Community organizing or design advocacy",
3/14/2026 17:00:35,46-55,North America,Male,35,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,During undergraduate studies,4,3,4,an internship,1,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Brand Design, Graphic Design, Editorial Design",Chief Design Officer,15 years,CEO,3,5,4,"Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",5,8,yes,"Speaking at conferences or industry events, Published writing or thought leadership, Awards or recognition",5,5,shift to a different professional discipline / business area,5,4,10,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup, Community organizing or design advocacy, Social media / content creation",
3/6/2026 12:00:39,36-45,South / Central America,Male,Since 1999,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,Before college/university,5,4,3,A natural continuation of what I'd always been doing,4,My first job was as a designer.,Small team (2–5 designers),NGO / Non-profit,Graphic Design,Senior design manager (managing multiple teams),6 years,Head of design,5,3,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout, Contracted design job market industry-wide",10,7,I did,"Case studies with measurable business results, Years of experience, Technical accumen",1,5,unsure,5,3,12,"Presenting at conferences or events, Mentoring or coaching (informal)",
3/6/2026 16:14:36,46-55,South / Central America,Male,25,I was always on a design-specific track,I hold an undergraduate degree in design,Before college/university,5,5,5,A pragmatic decision based on job prospects or circumstances,1,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Digital product Design, UI Design",Design manager (managing one team of designers),2 years,Customer Experience Director,3,3,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",10,6,No,"Advanced degree (MBA, MFA, etc.), Sponsorship or advocacy from senior leaders, Relationships with key stakeholders",1,5,continue at current level,3,4,10,"Teaching or lecturing, Learning new skills",
3/8/2026 8:18:27,46-55,South / Central America,Male,28,I was always on a design-specific track,I hold a Master's degree or higher in design.,Before college/university,4,3,2,A pragmatic decision based on job prospects or circumstances,4,My first job was in a different profession / industry.,Small team (2–5 designers),Corporate (In-house),Graphic Design,Design manager (managing one team of designers),5 years,IT Architecture and Engineering Manager,4,2,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company",15,6,"Around 15 people between specialists and analysts in business, conversion, content and software development.","Speaking at conferences or industry events, Advanced degree (MBA, MFA, etc.), Relationships with key stakeholders",5,4,shift to a different professional discipline / business area,4,3,7,None of those ,
3/9/2026 14:35:41,36-45,South / Central America,Female,15,I was always on a design-specific track,I hold a Master's degree or higher in design.,During undergraduate studies,5,4,5,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Graphic Design, Content Design, Editorial Design",Design manager (managing one team of designers),1 year,Head of Design,5,4,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company, Burnout",9,6,no,"Previous team size or headcount managed, Speaking at conferences or industry events, Design certifications",5,5,"start your own company (agency, startup, etc.)",3,5,5,"Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup",
